filename,width,height,class,xmin,ymin,xmax,ymax
b18_JPG_jpg.rf.06e5addf4b94897190460c3fb15d944f.jpg,416,416,smoky fire,36,23,415,408
914_jpg.rf.071a19e7e2cd22c2da53e5bc7721c702.jpg,416,416,black smoke,288,62,415,231
914_jpg.rf.071a19e7e2cd22c2da53e5bc7721c702.jpg,416,416,black smoke,203,122,229,179
914_jpg.rf.071a19e7e2cd22c2da53e5bc7721c702.jpg,416,416,black smoke,224,85,292,264
914_jpg.rf.071a19e7e2cd22c2da53e5bc7721c702.jpg,416,416,smoky fire,192,185,245,272
914_jpg.rf.071a19e7e2cd22c2da53e5bc7721c702.jpg,416,416,black smoke,327,0,415,63
914_jpg.rf.071a19e7e2cd22c2da53e5bc7721c702.jpg,416,416,black smoke,150,0,208,150
f44_jpg.rf.06e6feb32f420148efe6f75d3f81675f.jpg,416,416,0,208,63,246,160
WEBFire1213_jpg.rf.076b13f85ff681b9453ee0ab9b2e9a0e.jpg,416,416,0,260,164,296,248
WEBFire1213_jpg.rf.076b13f85ff681b9453ee0ab9b2e9a0e.jpg,416,416,0,295,222,303,230
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,0,181,70,217,130
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,0,167,102,181,127
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,smoky fire,156,66,234,185
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,0,216,117,234,137
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,black smoke,0,0,217,276
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,0,277,133,311,148
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,0,206,137,230,172
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,0,190,140,204,172
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,smoky fire,254,1,289,36
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,fire1,246,194,269,207
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,smoky fire,189,204,217,240
11-_106638522_capt324ure_jpg.rf.08886151ce323fe5c15306b9ab8c08ab.jpg,416,416,fire1,196,38,211,58
NoiseWEBSmoke1995_jpg.rf.080eefbbff29d39135a05cd212d1db35.jpg,416,416,fire1,322,320,345,342
NoiseWEBSmoke1995_jpg.rf.080eefbbff29d39135a05cd212d1db35.jpg,416,416,fire1,58,318,73,355
NoiseWEBSmoke1995_jpg.rf.080eefbbff29d39135a05cd212d1db35.jpg,416,416,fire1,185,324,217,351
new_fire_fire-596_png_jpg.rf.0913768f743da2756bb3f7e78b9a996e.jpg,416,416,smoky fire,82,0,274,284
new_fire_fire-596_png_jpg.rf.0913768f743da2756bb3f7e78b9a996e.jpg,416,416,smoky fire,291,166,324,239
f6_JPG_jpg.rf.07f1fa56ba9c1e68323e3d3d77104550.jpg,416,416,0,257,167,269,186
f6_JPG_jpg.rf.07f1fa56ba9c1e68323e3d3d77104550.jpg,416,416,0,270,149,302,271
f6_JPG_jpg.rf.07f1fa56ba9c1e68323e3d3d77104550.jpg,416,416,0,268,270,301,284
f6_JPG_jpg.rf.07f1fa56ba9c1e68323e3d3d77104550.jpg,416,416,0,262,282,294,351
WEBFire1342_jpg.rf.07dd7b19449739c48771088b607eb434.jpg,416,416,0,341,160,374,178
WEBFire1342_jpg.rf.07dd7b19449739c48771088b607eb434.jpg,416,416,0,288,145,317,201
WEBFire1342_jpg.rf.07dd7b19449739c48771088b607eb434.jpg,416,416,0,149,213,192,266
WEBFire1342_jpg.rf.07dd7b19449739c48771088b607eb434.jpg,416,416,fire1,202,269,206,283
WEBFire1342_jpg.rf.07dd7b19449739c48771088b607eb434.jpg,416,416,smoky fire,148,286,161,301
WEBFire1386_jpg.rf.08c5b59671922474ae861fe95fd4a254.jpg,416,416,fire1,167,171,208,311
WEBFire1386_jpg.rf.08c5b59671922474ae861fe95fd4a254.jpg,416,416,fire1,259,232,285,305
WEBFire1386_jpg.rf.08c5b59671922474ae861fe95fd4a254.jpg,416,416,fire1,212,238,246,306
MirrorWEBFire1976_jpg.rf.08c1d35a1cf61119de6645e9e9e676b6.jpg,416,416,fire1,244,47,356,341
MirrorWEBFire1976_jpg.rf.08c1d35a1cf61119de6645e9e9e676b6.jpg,416,416,fire1,262,337,277,351
MirrorWEBFire1976_jpg.rf.08c1d35a1cf61119de6645e9e9e676b6.jpg,416,416,fire1,295,350,311,359
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,97,275,128,283
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,279,275,298,284
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,340,286,350,295
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,37,284,78,297
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,315,289,327,301
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,171,288,198,306
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,297,293,309,305
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,264,292,288,310
WEBSmoke1304_jpg.rf.06c5e98b2d0b3363a20c0efd284bfbc3.jpg,416,416,smoky fire,240,299,260,312
WEBSmoke3328_jpg.rf.0930e3e8d5ec0342fcca7461b779bef5.jpg,416,416,fire1,216,179,220,187
WEBSmoke3328_jpg.rf.0930e3e8d5ec0342fcca7461b779bef5.jpg,416,416,fire1,193,191,200,199
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,373,214,385,260
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,390,242,397,258
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,fire1,62,230,81,283
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,187,265,205,304
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,2,278,23,292
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,290,256,415,366
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,182,306,207,350
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,227,338,251,378
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,255,351,273,369
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,197,364,215,378
NoiseWEBFire1130_jpg.rf.07a761f52857a6124c50b06afceee0c6.jpg,416,416,0,269,381,282,402
WEBFire316_jpg.rf.08ce4e2e778ac601b9c1795bfb19bfc4.jpg,416,416,0,236,219,261,284
WEBFire316_jpg.rf.08ce4e2e778ac601b9c1795bfb19bfc4.jpg,416,416,0,0,79,42,125
WEBFire316_jpg.rf.08ce4e2e778ac601b9c1795bfb19bfc4.jpg,416,416,0,71,121,79,132
WEBFire316_jpg.rf.08ce4e2e778ac601b9c1795bfb19bfc4.jpg,416,416,0,84,86,115,120
WEBFire316_jpg.rf.08ce4e2e778ac601b9c1795bfb19bfc4.jpg,416,416,0,118,84,202,176
882_jpg.rf.0922c3c06306be30383b7c5a350f3d6f.jpg,416,416,black smoke,68,0,150,21
882_jpg.rf.0922c3c06306be30383b7c5a350f3d6f.jpg,416,416,black smoke,280,101,318,120
882_jpg.rf.0922c3c06306be30383b7c5a350f3d6f.jpg,416,416,black smoke,260,125,324,149
882_jpg.rf.0922c3c06306be30383b7c5a350f3d6f.jpg,416,416,smoky fire,233,101,330,192
882_jpg.rf.0922c3c06306be30383b7c5a350f3d6f.jpg,416,416,black smoke,179,0,270,82
